t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
0.090000,13.104524,0.340654,-2.150000,0.840000,1.204524,0.240654,-14.360783,17.596854
0.190000,13.164237,1.100000,-0.650000,0.840000,1.264237,4.537042,4.557050,4.334188
0.290000,10.746331,-0.694753,-0.650000,-0.660000,-1.153669,-0.794753,2.730325,-7.570538
0.390000,11.291281,-0.055260,-0.650000,-0.660000,-0.608719,-0.155260,1.116866,-7.583914
0.490000,12.074629,0.978962,-0.650000,-0.660000,0.174629,0.878962,2.325942,-1.180748
0.590000,11.754794,-0.494281,-0.650000,-0.660000,-0.145206,-0.594281,0.900586,-15.354710
0.690000,12.033995,0.096055,-1.282780,-0.660000,0.133995,-0.003945,0.117220,-5.783947
0.790000,12.299923,0.826606,-2.150000,0.840000,0.399923,0.726606,-0.863058,1.566555
0.890000,12.533021,1.100000,-2.150000,0.840000,0.633021,1.242677,-2.011779,8.262422
0.990000,12.690797,0.885963,-2.150000,-0.660000,0.790797,0.785963,-2.396988,-1.861208
1.090000,12.671568,0.433911,-2.150000,-0.660000,0.771568,0.333911,-2.337506,-3.333457
1.190000,12.696420,0.693982,-2.150000,0.840000,0.796420,0.593982,-2.383549,2.356624
1.290000,12.656199,1.100000,-2.150000,0.840000,0.756199,1.358734,-2.310384,10.209757
1.390000,12.526211,1.100000,-2.150000,0.840000,0.626211,1.559230,-2.115360,16.505673
1.490000,12.372591,1.100000,-2.150000,0.840000,0.472591,1.233131,-1.597689,16.082732
1.590000,12.135014,0.668671,-2.150000,0.840000,0.235014,0.568671,-0.831251,6.026069
1.690000,11.874576,0.728078,-1.389116,0.840000,-0.025424,0.628078,0.010884,12.918517
1.790000,11.732818,1.100000,-0.985238,0.840000,-0.167182,1.440909,0.414762,15.012129
1.890000,11.641383,0.874668,-0.650000,0.840000,-0.258617,0.774668,0.796383,9.284418
1.990000,11.472157,-0.257170,-0.650000,-0.660000,-0.427843,-0.357170,1.439728,-2.217446
2.090000,11.268272,-0.900000,-0.650000,-0.660000,-0.631728,-1.129087,2.166719,-16.242897
2.190000,11.194952,-0.900000,-0.650000,-0.660000,-0.705048,-1.313152,2.567059,-23.712874
2.290000,11.223896,-0.900000,-0.650000,-0.660000,-0.676104,-1.776573,2.422820,-24.777247
2.390000,11.216549,-0.900000,-0.650000,-0.660000,-0.683451,-1.108892,2.491522,-19.348974
2.490000,11.260414,-0.900000,-0.650000,-0.660000,-0.639586,-1.169482,2.279100,-12.603860
2.590000,11.373542,-0.900000,-0.650000,-0.660000,-0.526458,-1.119713,2.123869,-17.644324
2.690000,11.475353,-0.900000,-0.650000,-0.660000,-0.424647,-1.278071,1.952255,-24.536890
2.790000,11.536609,-0.900000,-0.650000,-0.660000,-0.363391,-1.607498,1.583555,-22.280756
2.890000,11.597272,-0.900000,-0.650000,-0.660000,-0.302728,-1.301554,1.480868,-24.671618
2.990000,11.619633,-0.900000,-0.650000,-0.660000,-0.280367,-1.341325,1.253878,-18.025484
3.090000,11.823016,-0.678633,-0.765599,-0.660000,-0.076984,-0.778633,0.634401,-13.899789
3.190000,12.093731,0.085840,-1.617210,-0.660000,0.193731,-0.014160,-0.217210,-6.409536
3.290000,12.371868,0.844545,-2.150000,0.840000,0.471868,0.744545,-1.206463,1.588517
3.390000,12.610464,1.100000,-2.150000,0.840000,0.710464,1.346483,-2.177931,8.351161
3.490000,12.689528,0.964597,-2.150000,0.227949,0.789528,0.864597,-2.437573,0.137949
3.590000,12.711984,0.939882,-2.150000,-0.660000,0.811984,0.839882,-2.550715,-2.051740
3.690000,12.696380,0.759765,-2.150000,0.840000,0.796380,0.659765,-2.498160,4.898929
3.790000,12.607544,1.100000,-2.150000,0.840000,0.707544,1.327904,-2.102303,14.606907
3.890000,12.428881,1.100000,-2.150000,0.840000,0.528881,1.265028,-1.599938,14.706417
3.990000,12.163038,0.810279,-2.150000,0.840000,0.263038,0.710279,-0.907099,7.075623
4.090000,11.867408,-0.224989,-1.335336,-0.660000,-0.032592,-0.324989,0.064664,-7.125235
4.190000,11.567852,-0.199594,-0.650000,-0.660000,-0.332148,-0.299594,0.998640,-1.149777
4.290000,11.336634,-0.900000,-0.650000,-0.660000,-0.563366,-1.115368,1.899496,-14.568108
4.390000,11.240325,-0.900000,-0.650000,-0.660000,-0.659675,-1.266935,2.429864,-20.040489
4.490000,11.279571,-0.684236,-0.650000,-0.660000,-0.620429,-0.784236,2.453829,-16.703045
4.590000,11.505392,0.048230,-0.650000,-0.660000,-0.394608,-0.051770,1.758936,-11.594661
4.690000,11.781888,-0.637699,-0.650000,-0.660000,-0.118112,-0.737699,0.938021,-18.681488
4.790000,11.918115,-0.857192,-0.958630,-0.660000,0.018115,-0.957192,0.441370,-23.059087
4.890000,11.977163,-0.736068,-1.249770,-0.660000,0.077163,-0.836068,0.150230,-16.691302
4.990000,12.186097,0.045521,-1.814480,-0.660000,0.286097,-0.054479,-0.414480,-10.114935
5.090000,12.480483,0.490777,-2.150000,0.840000,0.580483,0.390777,-2.180176,11.170543
5.190000,12.305542,-0.900000,-2.150000,-0.660000,0.405542,-1.059995,-0.920396,-7.510906
5.290000,12.344453,-0.758882,-1.797925,-0.660000,0.444453,-0.858882,-0.397925,-15.519566
5.390000,12.291904,0.058945,-1.783447,-0.660000,0.391904,-0.041055,-0.383447,-37.227560
5.490000,10.897349,0.349516,-0.650000,-0.660000,-1.002651,0.249516,6.371861,-74.801264
5.590000,10.437722,0.338331,-0.650000,-0.660000,-1.462278,0.238331,14.551813,-106.959683
t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
0.090000,13.900000,-0.584593,-0.650000,-0.660000,3.598607,-0.684593,6.185138,-1.746325
0.190000,9.900000,-0.840672,-0.650000,-0.660000,-4.967815,-0.940672,11.668142,-2.320783
0.290000,11.669069,0.959842,-2.150000,-0.660000,-0.230931,0.859842,-8.167566,-23.884052
0.390000,10.692158,-0.900000,-0.650000,-0.660000,-1.207842,-1.557394,1.508381,-2.772771
0.490000,11.051680,-0.633098,-2.150000,-0.660000,-0.848320,-0.733098,-1.648957,-8.101500
0.590000,12.346687,0.002139,-0.650000,-0.660000,0.446687,-0.097861,1.048790,-2.008879
0.690000,11.840463,-0.900000,-1.053138,-0.660000,-0.059537,-1.381601,0.346862,-15.277657
0.790000,11.517308,-0.900000,-0.650000,-0.660000,-0.382692,-1.218136,1.834505,-20.832614
0.890000,11.248913,-0.779703,-0.650000,-0.660000,-0.651087,-0.879703,2.647878,-20.039773
0.990000,11.222887,-0.900000,-0.650000,-0.660000,-0.677113,-1.775597,2.388117,-28.879306
1.090000,11.269696,-0.900000,-0.650000,-0.660000,-0.630304,-1.278882,2.071302,-22.519017
1.190000,11.467277,-0.655811,-0.650000,-0.660000,-0.432723,-0.755811,1.598038,-17.817156
1.290000,11.757271,0.071191,-0.650000,-0.660000,-0.142729,-0.028809,0.763028,-12.158213
1.390000,11.963330,-0.349130,-1.302092,-0.660000,0.063330,-0.449130,0.097908,-13.785656
1.490000,12.112366,0.065329,-1.921053,-0.660000,0.212366,-0.034671,-0.521053,-6.921042
1.590000,12.318013,0.857991,-2.150000,0.508830,0.418013,0.757991,-1.343430,0.418830
1.690000,12.518903,1.100000,-2.150000,0.840000,0.618903,1.370491,-2.188803,12.621863
1.790000,12.559249,1.100000,-2.150000,0.840000,0.659249,1.582877,-2.422977,16.905530
1.890000,12.504542,1.100000,-2.150000,0.840000,0.604542,1.736205,-2.298810,19.168443
1.990000,12.450177,1.100000,-2.150000,0.840000,0.550177,1.338365,-2.109854,2.966754
2.090000,12.459633,1.100000,-2.150000,0.840000,0.559633,1.319800,-2.191428,7.289207
2.190000,12.430550,1.100000,-2.150000,0.840000,0.530550,1.255367,-2.044815,14.319058
2.290000,12.266597,1.100000,-2.150000,0.840000,0.366597,1.214970,-1.588134,14.389439
2.390000,12.033394,0.717329,-2.150000,0.840000,0.133394,0.617329,-0.879613,5.966276
2.490000,11.777627,0.247164,-1.423984,0.840000,-0.122373,0.147164,-0.023984,3.706294
2.590000,11.585565,0.712265,-0.827431,0.840000,-0.314435,0.612265,0.572569,10.234388
2.690000,11.413813,-0.273047,-0.650000,-0.660000,-0.486187,-0.373047,1.233466,-1.832966
2.790000,11.212319,-0.900000,-0.650000,-0.660000,-0.687681,-1.175485,2.014318,-15.518001
2.890000,11.139762,-0.900000,-0.650000,-0.660000,-0.760238,-1.354888,2.399055,-21.786343
2.990000,11.207907,-0.762731,-0.650000,-0.660000,-0.692093,-0.862731,2.323865,-19.867924
3.090000,11.387064,-0.900000,-0.650000,-0.660000,-0.512936,-1.764333,1.793828,-29.185776
3.190000,11.424822,-0.900000,-0.650000,-0.660000,-0.475178,-1.357501,1.692524,-23.260682
3.290000,11.489230,-0.900000,-0.650000,-0.660000,-0.410770,-1.510429,1.441219,-21.983179
3.390000,11.653436,-0.732453,-0.650000,-0.660000,-0.246564,-0.832453,1.060201,-19.250741
3.490000,11.770096,-0.900000,-0.683483,-0.660000,-0.129904,-1.739992,0.716517,-28.969050
3.590000,11.744199,-0.900000,-0.662197,-0.660000,-0.155801,-1.355138,0.737803,-23.562189
3.690000,11.734907,-0.900000,-0.711867,-0.660000,-0.165093,-1.842528,0.688133,-24.687543
3.790000,11.737352,-0.900000,-0.668560,-0.660000,-0.162648,-1.155493,0.731440,-19.679750
3.890000,11.641805,-0.900000,-0.650000,-0.660000,-0.258195,-1.235296,0.915018,-14.305529
3.990000,11.721970,-0.900000,-0.650000,-0.660000,-0.178030,-1.347131,0.846908,-20.546525
4.090000,11.839650,-0.740613,-0.923099,-0.660000,-0.060350,-0.840613,0.476901,-17.505345
4.190000,12.001536,-0.007502,-1.571988,-0.660000,0.101536,-0.107502,-0.171988,-11.777008
4.290000,12.157428,-0.615403,-2.057370,-0.660000,0.257428,-0.715403,-0.657370,-16.534731
4.390000,12.264163,0.002261,-2.150000,-0.660000,0.364163,-0.097739,-0.993569,-10.096466
4.490000,12.333877,-0.086183,-2.150000,-0.660000,0.433877,-0.186183,-1.370289,-9.048836
4.590000,12.478733,0.775651,-2.150000,-0.660000,0.578733,0.675651,-1.882044,-1.766442
4.690000,12.590454,0.139868,-2.150000,-0.660000,0.690454,0.039868,-2.191679,-8.943301
4.790000,12.617030,0.757519,-2.150000,-0.660000,0.717030,0.657519,-2.423550,-2.447804
4.890000,12.610460,0.712332,-2.150000,0.840000,0.710460,0.612332,-2.435534,5.665206
4.990000,12.595200,1.100000,-2.150000,0.840000,0.695200,1.275227,-2.484371,15.929419
5.090000,11.835000,-0.857446,-0.650000,-0.660000,-0.065000,-0.957446,0.997791,-27.172544
5.190000,12.084458,-0.224202,-0.650000,-0.660000,0.184458,-0.324202,1.896077,-44.362246
5.290000,11.090698,0.296126,-0.650000,-0.660000,-0.809302,0.196126,10.240257,-92.145587
